"pokemon1","pokemon2","compatibility","viability_ceiling_pokemon2"
"Rotom-Mow","Tornadus-Incarnate",0.08872901648283005,83
"Rotom-Mow","Blastoise",0.011990407481789589,74
"Rotom-Mow","Calyrex-Ice",0.04316546767950058,86
"Rotom-Mow","Ceruledge",0.014388489536941051,72
"Rotom-Mow","Zacian",0.019184652715921402,73
"Rotom-Mow","Wugtrio",0.011990407481789589,62
"Rotom-Mow","Iron Hands",0.02158273383975029,85
"Rotom-Mow","Zamazenta-Crowned",0.038369305431842804,85
"Rotom-Mow","Calyrex-Shadow",0.019184652715921402,85
"Rotom-Mow","Greninja",0.016786571592092514,71
"Rotom-Mow","Gengar",0.04556354880332947,71
"Rotom-Mow","Incineroar",0.1342925727367401,85
"Rotom-Mow","Whimsicott",0.316546767950058,86
"Rotom-Mow","Arcanine-Hisui",0.30455636978149414,79
"Rotom-Mow","Walking Wake",0.03357314318418503,79
"Rotom-Mow","Mienshao",0.016786571592092514,79
"Rotom-Mow","Tyranitar",0.10071942210197449,75
"Rotom-Mow","Farigiraf",0.016786571592092514,85
"Rotom-Mow","Urshifu-Rapid-Strike",0.11990407854318619,85
"Rotom-Mow","Kilowattrel",0.016786571592092514,72
"Rotom-Mow","Miraidon",0.026378896087408066,85
"Rotom-Mow","Lunala",0.011990407481789589,82
"Rotom-Mow","Landorus-Therian",0.05275779217481613,83
"Rotom-Mow","Zacian-Crowned",0.2901678681373596,83
"Rotom-Mow","Baxcalibur",0.03357314318418503,76
"Rotom-Mow","Gastrodon",0.019184652715921402,81
"Rotom-Mow","Corviknight",0.026378896087408066,73
"Rotom-Mow","Rayquaza",0.014388489536941051,77
"Rotom-Mow","Excadrill",0.04556354880332947,75
"Rotom-Mow","Kyogre",0.11510791629552841,83
"Rotom-Mow","Palkia",0.014388489536941051,69
"Rotom-Mow","Solgaleo",0.02158273383975029,77
"Rotom-Mow","Articuno-Galar",0.011990407481789589,73
"Rotom-Mow","Raging Bolt",0.011990407481789589,86
"Rotom-Mow","Vivillon",0.019184652715921402,72
"Rotom-Mow","Sandy Shocks",0.016786571592092514,73
